,ss_id,pv_system_id,provider,installed_capacity_kw
132,6093,19408,solar_sheffield_passiv,3.0
133,6094,19411,solar_sheffield_passiv,3.92
134,6126,19590,solar_sheffield_passiv,3.92
135,6127,19609,solar_sheffield_passiv,3.84
136,6336,20495,solar_sheffield_passiv,4.0
137,6362,20588,solar_sheffield_passiv,3.92
138,6363,20589,solar_sheffield_passiv,3.92
139,6364,20591,solar_sheffield_passiv,2.47
140,6409,20716,solar_sheffield_passiv,3.92
141,6410,20724,solar_sheffield_passiv,3.84
142,6424,20919,solar_sheffield_passiv,3.99
143,6425,20923,solar_sheffield_passiv,3.04
144,6427,20933,solar_sheffield_passiv,4.0
145,6433,20966,solar_sheffield_passiv,3.84
146,6441,20986,solar_sheffield_passiv,4.0
147,6442,20987,solar_sheffield_passiv,3.84
148,6452,21044,solar_sheffield_passiv,3.84
149,6489,21193,solar_sheffield_passiv,3.99
150,6490,21196,solar_sheffield_passiv,3.99
151,6493,21201,solar_sheffield_passiv,3.84
152,6494,21203,solar_sheffield_passiv,3.84
153,6498,21240,solar_sheffield_passiv,4.0
154,6504,21252,solar_sheffield_passiv,2.88
155,6567,21629,solar_sheffield_passiv,3.84
156,6573,21651,solar_sheffield_passiv,3.84
157,6575,21668,solar_sheffield_passiv,3.0
158,6576,21669,solar_sheffield_passiv,2.73
159,6577,21670,solar_sheffield_passiv,4.0
160,6597,21710,solar_sheffield_passiv,3.84
161,6601,21725,solar_sheffield_passiv,3.84
162,6605,21732,solar_sheffield_passiv,3.84
163,6609,21785,solar_sheffield_passiv,2.34
164,6610,21806,solar_sheffield_passiv,3.99
165,6613,21830,solar_sheffield_passiv,2.88
166,6614,21836,solar_sheffield_passiv,4.0
167,6616,21842,solar_sheffield_passiv,1.17
168,6618,21845,solar_sheffield_passiv,4.0
169,6629,21887,solar_sheffield_passiv,2.5
170,6633,21917,solar_sheffield_passiv,2.0
171,6634,21918,solar_sheffield_passiv,2.0
172,6640,21939,solar_sheffield_passiv,3.84
173,6641,21941,solar_sheffield_passiv,1.92
174,6646,21972,solar_sheffield_passiv,4.0
175,6648,21981,solar_sheffield_passiv,2.0
176,6656,21993,solar_sheffield_passiv,3.84
177,6663,22040,solar_sheffield_passiv,4.0
178,6665,22094,solar_sheffield_passiv,4.0
179,6667,22106,solar_sheffield_passiv,4.0
180,6669,22132,solar_sheffield_passiv,1.5
181,6671,22185,solar_sheffield_passiv,4.0
182,6672,22214,solar_sheffield_passiv,4.0
183,6673,22220,solar_sheffield_passiv,1.56
184,6676,22238,solar_sheffield_passiv,2.0
185,6677,22241,solar_sheffield_passiv,1.56
186,6678,22242,solar_sheffield_passiv,1.56
187,6682,22299,solar_sheffield_passiv,4.0
188,6727,22506,solar_sheffield_passiv,4.0
189,6729,22510,solar_sheffield_passiv,4.0
190,6748,22556,solar_sheffield_passiv,4.0
191,6780,22679,solar_sheffield_passiv,2.4
192,6785,22693,solar_sheffield_passiv,3.0
193,6789,22711,solar_sheffield_passiv,4.0
194,6794,22718,solar_sheffield_passiv,4.0
195,6796,22757,solar_sheffield_passiv,1.8
196,6800,22775,solar_sheffield_passiv,4.0
197,6801,22776,solar_sheffield_passiv,3.75
198,6807,22867,solar_sheffield_passiv,4.0
199,6815,22905,solar_sheffield_passiv,3.5
200,6817,22922,solar_sheffield_passiv,3.9
201,6827,22990,solar_sheffield_passiv,4.0
202,6830,22994,solar_sheffield_passiv,3.0
203,6834,23030,solar_sheffield_passiv,3.0
204,6835,23039,solar_sheffield_passiv,3.99
205,6839,23096,solar_sheffield_passiv,3.6
206,6842,23118,solar_sheffield_passiv,3.04
207,6845,23132,solar_sheffield_passiv,3.75
208,6848,23148,solar_sheffield_passiv,4.0
209,6856,23181,solar_sheffield_passiv,3.99
210,6862,23283,solar_sheffield_passiv,4.0
211,6867,23301,solar_sheffield_passiv,2.88
212,6869,23304,solar_sheffield_passiv,3.25
213,6871,23309,solar_sheffield_passiv,4.0
214,6873,23314,solar_sheffield_passiv,2.16
215,6875,23319,solar_sheffield_passiv,4.0
216,6880,23359,solar_sheffield_passiv,4.0
217,6882,23374,solar_sheffield_passiv,4.0
218,6891,23435,solar_sheffield_passiv,4.0
219,6892,23441,solar_sheffield_passiv,4.0
220,6917,23544,solar_sheffield_passiv,3.99
221,6928,23607,solar_sheffield_passiv,3.99
222,6932,23686,solar_sheffield_passiv,3.99
223,6938,23702,solar_sheffield_passiv,3.99
224,6949,23742,solar_sheffield_passiv,3.99
225,6961,23837,solar_sheffield_passiv,3.99
226,6962,23839,solar_sheffield_passiv,3.99
227,6966,23880,solar_sheffield_passiv,1.92
228,6975,23908,solar_sheffield_passiv,3.9
